province,month,MinRain,MaxRain,AvgRain,AvgFloodRiskArea(Square meter),flooding,,,,
Lopburi,1,6.52,99.49,49.09,8722670.03,0,,,,
Chainat,1,0.1,12.83,6.31,23682656.7,0,,,,
Saraburi,1,23.85,73.07,47.69,2923294.87,0,,,,
Chonburi,1,10.24,178.94,66.12,11319017.89,0,,,,
Rayong,1,5.63,96.42,35.89,15922802.72,0,,,,
Chanthaburi,1,60.8,127.61,82.16,18460418.16,0,,,,
Chachoengsao,1,53.97,196.37,139.3,9174664.91,0,,,,
Prachinburi,1,69.57,174.26,129.19,21851777.16,0,,,,
Nakhon Nayok,1,53.22,115.57,85.02,11773961.86,0,,,,
Sa Kaeo,1,34.22,133.32,94.91,37193369.19,0,,,,
Nakhon Ratchasima,1,0.23,103.07,25,22767984.2,0,,,,
Buriram,1,0,65.28,9.2,14055806.19,0,,,,
Surin,1,1,17.27,8.8,13958581.75,0,,,,
Sisaket,1,0.51,8.49,3.4,14810896.18,0,,,,
Ubon Ratchathani,1,0,3.42,1,20630426.33,0,,,,
Yasothon,1,0.07,2.39,0.59,6286209.15,0,,,,
Chaiyaphum,1,0,71.18,13.49,29713290.43,0,,,,
Bueng Kan,1,5.87,11.21,7.78,70155.12,0,,,,
Nong Bua Lamphu,1,0.2,19.99,6.37,30419695.72,0,,,,
Khon Kaen,1,0.71,13.63,2.47,16875137.96,0,,,,
Udon Thani,1,0,19.46,5.82,17186879.75,0,,,,
Loei,1,7.8,27.64,18.58,13529579.56,0,,,,
Nong Khai,1,7.36,20.8,14.5,21599891.95,0,,,,
Maha Sarakham,1,0.4,3.34,1.46,13016655.59,0,,,,
Roi Et,1,0.11,3.69,0.9,14669883.22,0,,,,
Kalasin,1,0,2.22,0.49,11208279.07,0,,,,
Sakon Nakhon,1,0,8.56,3.14,86.5,0,,,,
Chiang Mai,1,0.3,30.4,6.7,20264146.45,0,,,,
Lamphun,1,0,8.08,4.25,5004568.22,0,,,,
Lampang,1,0.02,25.39,10.4,8599406.57,0,,,,
Uttaradit,1,3.39,21.01,12.16,16085958.93,0,,,,
Phrae,1,8.22,23.8,17.96,16892142.82,0,,,,
Nan,1,11.4,30.78,17.23,22743154.42,0,,,,
Phayao,1,7.66,21.7,12.51,26200648.21,0,,,,
Chiang Rai,1,4.77,16.86,8.78,20554196.06,0,,,,
Mae Hong Son,1,0.4,12.98,3.83,13223820.53,0,,,,
Nakhon Sawan,1,3.1,26.06,9.82,7632560.65,0,,,,
Uthai Thani,1,4.04,21.14,11.02,16452835.77,0,,,,
Kamphaeng Phet,1,5.31,25.31,10.07,21066429.12,0,,,,
Tak,1,0,32,9.92,17552436,0,,,,
Sukhothai,1,1.5,11.87,5.35,16871908.26,0,,,,
Phitsanulok,1,0.1,17.46,6.98,25141199.37,0,,,,
Phichit,1,5.56,23.29,11.01,28664263.22,0,,,,
Phetchabun,1,2.81,94.85,20.97,20605875.71,0,,,,
Ratchaburi,1,2.18,61.69,7.5,33572250.57,0,,,,
Kanchanaburi,1,0,21.17,7.99,26726127.71,0,,,,
Suphan Buri,1,0.41,27.79,5.21,5618383.53,0,,,,
Phetchaburi,1,6.54,19.11,12.24,7263070.95,0,,,,
Prachuap Khiri Khan,1,14.5,54.71,28.62,49348897.52,0,,,,
Nakhon Si Thammarat,1,84.94,335.78,227.71,32041150.66,0,,,,
Krabi,1,136.83,368.53,261.26,52404960.23,0,,,,
Phang Nga,1,123.5,262.43,233.15,33275572.12,0,,,,
Phuket,1,156.89,270.95,208.99,10355271.89,0,,,,
Surat Thani,1,54.12,258.9,123.06,28894275.72,0,,,,
Ranong,1,51.53,145.58,85.41,16694201.37,0,,,,
Chumphon,1,9.8,99.97,64.9,45488917.1,0,,,,
Songkhla,1,62.61,423,167.64,32478516.22,0,,,,
Satun,1,83.64,196.69,127.13,31545130.42,0,,,,
Trang,1,148.02,264.38,190.22,29424386.51,0,,,,
Phatthalung,1,170.21,438.09,305.11,26289445.11,0,,,,
Pattani,1,134.38,306.31,167.91,7694062.52,0,,,,
